Label,X,Y,Z,LWP,Rg,gs,An,Tleaf,Node
LII_1,37.37,-2.12,104.0,-0.795841007941025,118.36537513491304,0.19950913573795256,7.057281351603418,27.417923714319862,_ProxyNode(2137)
LI_1,39.31,2.45,103.8,-0.7957911589048575,62.11599225707595,0.11617715577008197,3.7175127432402917,27.68747780952413,_ProxyNode(2136)
LII_1,40.26,-5.82,115.17,-0.8192511082109817,78.13545815692387,0.13985115217039107,4.693191625013263,27.503900114669158,_ProxyNode(2134)
LII_2,44.47,-7.44,116.08,-0.8194473306051877,104.18987203020785,0.1778141211478249,6.281037446325826,27.305335190301527,_ProxyNode(2132)
LI_2,37.93,-5.51,110.82,-0.8190975475026674,108.00317400957788,0.18292895825165637,6.4737117925116685,27.489187403980974,_ProxyNode(2130)
LII_1,39.15,-3.88,125.56,-0.8488045924881782,23.917593815171426,0.050336353067048714,1.0776666654352205,27.845146736224187,_ProxyNode(2128)
LII_2,37.86,-5.62,128.87,-0.8494227733238501,19.124655540079527,0.042268121080435934,0.7283308908902804,27.772440708566158,_ProxyNode(2119)
LII_3,41.83,-5.7,129.52,-0.8499869083427777,24.699567906101844,0.05171681920249567,1.1528159397539781,27.679304719635596,_ProxyNode(2118)
LII_4,43.53,-3.73,131.84,-0.8506340210585276,42.69802978516642,0.0817684674216866,2.443271032332394,27.367401166649863,_ProxyNode(2116)
LI_3,42.65,9.29,121.32,-0.8484810594826617,325.01641986022014,0.3114097692054517,11.915913813519396,27.803746500758123,_ProxyNode(2114)
LII_1,42.89,-6.17,133.78,-0.8740983670993633,27.565153359106255,0.05570301985782411,1.3544829772722444,27.632986373583055,_ProxyNode(2112)
LII_2,44.01,-6.87,133.65,-0.8752299910844336,33.69974813794143,0.06572859714317418,1.7951853455799522,27.63399787782967,_ProxyNode(2110)
LII_3,43.9,-11.39,135.26,-0.8764102157274908,38.37436116510239,0.07331687228792515,2.122824233169844,27.52643207360591,_ProxyNode(2101)
LII_4,49.27,-8.39,134.01,-0.8775491810866911,62.130133877362304,0.11036462971657353,3.736367483015396,27.58869625998386,_ProxyNode(2100)
LII_5,52.09,-20.88,141.25,-0.8789517355785068,150.13757181465604,0.2246754173676314,8.6147702763313,26.950510714481094,_ProxyNode(2098)
LII_6,53.87,-16.56,137.09,-0.8794541050252721,61.315594922889254,0.10944775806521355,3.670421879022875,27.204472018734332,_ProxyNode(2096)
LI_4,38.14,-5.49,125.07,-0.8733703183493635,88.65917267835198,0.1501027285703735,5.383059111452447,27.19541969306568,_ProxyNode(2094)
LII_1,43.33,-6.89,143.32,-0.8988534478556252,31.01151924820149,0.060285670835656995,1.5794284645378198,27.710038724896283,_ProxyNode(2092)
LII_2,45.81,-9.4,142.73,-0.900757353411308,24.618999241215825,0.0499774439832253,1.1479627306612699,27.668014498237547,_ProxyNode(2083)
LII_3,42.66,-13.13,145.2,-0.9028078993072599,117.07420759460767,0.18246039491679145,6.9655975196154,27.115852326628755,_ProxyNode(2082)
LII_4,45.3,-16.86,145.31,-0.904594659136575,179.24658655666016,0.24413406641958316,9.657532866168914,27.03042650703341,_ProxyNode(2080)
LII_5,43.53,-21.46,150.62,-0.9064611451421265,329.47923686811555,0.30587560062392555,12.24427577888629,27.174871280814163,_ProxyNode(2078)
LI_5,44.02,12.82,134.2,-0.8984784565085471,364.16222728585416,0.3014314654990953,11.935494672544607,27.719454669263364,_ProxyNode(2076)
LII_1,44.93,-3.86,147.01,-0.9175113281515302,73.91541096525738,0.12417373935833827,4.4650727374927115,27.54024976773948,_ProxyNode(2074)
LII_2,50.64,-8.51,149.96,-0.919966219416988,135.2829054614867,0.20042592213697394,7.81845761214538,27.464149693811233,_ProxyNode(2065)
LII_3,52.0,-12.93,150.59,-0.9224356788042392,236.87581977318152,0.27231626295977174,10.979988956873285,27.529651460211312,_ProxyNode(2064)
LII_4,57.87,-11.74,149.32,-0.9244131498098194,45.932077849091876,0.08253879232895278,2.6660271872953842,27.52062565805831,_ProxyNode(2062)
LII_5,51.47,-20.35,151.09,-0.9267467481304528,155.73798771496462,0.22253585359463562,8.871552095757014,26.689778454666815,_ProxyNode(2060)
LII_6,64.03,-17.98,149.81,-0.9279462976411754,91.62860870602147,0.14828220314062274,5.573177783890063,26.89320328739628,_ProxyNode(2058)
LI_6,39.35,-13.76,140.9,-0.9168555694352378,105.08308525219263,0.16713080272208333,6.350153923360274,26.884074660861415,_ProxyNode(2056)
LII_1,44.85,3.67,158.21,-0.9370848521419621,333.02631556854936,0.2890788224915301,11.774986555778597,27.731627384141532,_ProxyNode(2054)
LII_2,42.27,7.36,163.44,-0.9398605734825829,240.27794242685968,0.28704679824593954,11.755102668899909,27.3043065990178,_ProxyNode(2044)
LII_3,54.82,7.28,160.23,-0.94237680849501,38.180316310716385,0.06962370652194541,2.090263844785916,27.42763454395717,_ProxyNode(2043)
