Label,X,Y,Z,LWP,Rg,gs,An,Tleaf,Node
LI_1,39.1,4.0,104.63,-0.9285477724572122,328.75945731558846,0.2864497789356716,15.667332600192452,31.910245121045527,_ProxyNode(2134)
LII_1,40.28,-5.44,114.84,-0.9936877797534153,12.727441217805731,0.02469460141295769,0.16381237061183995,32.53864475108435,_ProxyNode(2133)
LII_2,43.62,-8.29,116.23,-0.9938364590687083,10.678550991270425,0.02245086987922951,0.017965073848703383,32.525652885490956,_ProxyNode(2131)
LI_2,39.4,-7.73,114.46,-0.9935266290445319,24.42314118254861,0.037847855041283546,0.9996950489487659,32.38480707365163,_ProxyNode(2129)
LII_1,37.52,-6.64,123.15,-1.0773700089504998,32.48994148212272,0.043841904684049415,1.5883624563096959,32.33803837929156,_ProxyNode(2127)
LII_2,37.65,-9.07,121.0,-1.0779669479447715,35.41102296364109,0.046791953022209766,1.7668728610196496,32.40494759102546,_ProxyNode(2125)
LII_3,34.3,-13.17,122.85,-1.0786760266030337,36.72335703790665,0.0482505299713469,1.9264312574027649,32.33115487140457,_ProxyNode(2116)
LII_4,37.64,-18.9,121.79,-1.0792105290212426,75.60869594592894,0.08810425860076135,4.630813045216442,31.970747106060717,_ProxyNode(2115)
LI_3,42.44,6.9,118.83,-1.0771686839071826,396.8977777264604,0.26066040196078616,16.22377803047931,31.933569271422602,_ProxyNode(2113)
LII_1,37.62,1.25,125.89,-1.151497211178718,60.09345652198936,0.06701765526803556,3.506109295697236,32.35048978488878,_ProxyNode(2111)
LII_2,35.25,-4.66,123.23,-1.155321407603771,34.94912396343629,0.04308496940963907,1.7608889339625904,32.40042212206831,_ProxyNode(2109)
LII_3,40.45,6.2,117.24,-1.1591267507127498,100.04285347698942,0.1022325149666828,6.232876336521404,31.957482663728015,_ProxyNode(2107)
LII_4,38.73,-6.48,111.79,-1.1627033358161685,36.843754377545814,0.044609281619458485,1.9203435015774843,32.33071115367727,_ProxyNode(2098)
LII_5,44.6,6.77,107.18,-1.1670559550229949,367.8532005845417,0.22915787162495738,15.603994123283371,32.08196649813232,_ProxyNode(2097)
LII_6,28.89,-7.4,102.88,-1.169205288476733,170.66712877387394,0.15539342118763586,10.259982346956964,31.71419017410007,_ProxyNode(2095)
LI_4,37.73,-9.03,126.82,-1.1479936792510776,37.7302145874491,0.046097179429446716,1.9621383470704927,32.27737104436448,_ProxyNode(2093)
LII_1,45.92,-2.15,138.38,-1.2177556118902593,39.62854439288522,0.04451265193456132,2.1007146142007045,32.59627367169995,_ProxyNode(2091)
LII_2,48.76,5.15,139.23,-1.2214361416513047,14.068007076922052,0.022383571190443766,0.26919921713848183,32.58439212841621,_ProxyNode(2089)
LII_3,47.86,-5.78,140.58,-1.2251160945507809,33.2005225814415,0.03866528495758531,1.6554085018922002,32.46366327268218,_ProxyNode(2080)
LII_4,55.81,4.58,136.92,-1.228739663690282,20.20847240034161,0.027414574899836244,0.7225526409924505,32.45511391393682,_ProxyNode(2079)
LII_5,61.85,-10.15,136.8,-1.2325548802608903,102.91596900610938,0.09627287056457659,6.3439306877522235,31.923450094282863,_ProxyNode(2077)
LII_6,62.15,13.88,145.28,-1.2368803585484964,316.981131001385,0.20565393638026666,15.135986982380103,31.81484386769528,_ProxyNode(2075)
LI_5,50.83,11.78,136.03,-1.2159874678228566,209.37910282261387,0.16778990247680886,11.838814256978718,31.955172375032824,_ProxyNode(2073)
LII_1,46.98,4.68,144.51,-1.2666608982259837,66.32311455493631,0.06403973497998953,3.9490597855933025,32.09237041098631,_ProxyNode(2071)
LII_2,47.44,10.11,142.97,-1.2709385367558215,86.19635501165797,0.07934976330355362,5.271643442400922,31.858864946010332,_ProxyNode(2062)
LII_3,54.05,10.79,140.68,-1.2751526808557867,42.191203441837345,0.044070879996886005,2.2838533770199305,32.156631240062126,_ProxyNode(2061)
LII_4,54.12,16.53,137.78,-1.2795138866718911,187.13530874805886,0.14371215940761714,10.810226676227135,31.794902228621506,_ProxyNode(2059)
LII_5,59.34,16.67,136.37,-1.2831459228776416,99.18182451805447,0.08750367000850379,6.0955189095205675,31.986944464351517,_ProxyNode(2057)
LII_6,56.96,21.86,131.27,-1.2875886741496767,570.9679123647867,0.20064576731589653,15.490054007302035,32.97725228451269,_ProxyNode(2055)
LI_6,36.02,-15.18,143.74,-1.2669736767127064,318.5207617409168,0.2072523913727531,15.808059164225714,31.657960360111513,_ProxyNode(2053)
LII_1,41.54,2.11,152.83,-1.3083109783466575,421.26192491098374,0.1903693993856467,15.135004997584673,32.24926840038195,_ProxyNode(2051)
LII_2,41.32,4.36,151.8,-1.3096545073760426,169.37855200983756,0.12934523461310687,9.962150032474469,31.84201563574011,_ProxyNode(2041)
LII_3,33.82,9.71,148.45,-1.310822622555121,176.10666604358406,0.1332553607284395,10.31825741926319,31.72641131430615,_ProxyNode(2040)
LII_4,35.24,3.63,144.42,-1.3117585347254084,40.54265944460877,0.04100319503957392,2.14267358489856,32.261914894384596,_ProxyNode(2038)
LII_5,33.35,12.36,140.34,-1.3127530575485307,119.94797490637582,0.09892882404712766,7.335661913261362,31.684195042639466,_ProxyNode(2036)
LI_7,51.5,13.27,151.43,-1.3112040412302233,264.76339007691115,0.17387002939242532,13.894076078785545,31.32145310235402,_ProxyNode(2034)
LII_1,45.87,7.27,167.39,-1.3482635556727347,96.51887058721938,0.07885117573287653,5.855111608377197,32.12089496040256,_ProxyNode(2032)
LII_2,47.94,10.82,166.96,-1.3511671925468658,67.72950263712723,0.058856007172968086,4.020086263502122,32.1252415572296,_ProxyNode(2030)
LII_3,45.37,16.06,167.36,-1.3540450750026758,166.70623338767396,0.1201048430319559,9.722104400935258,31.922924201337665,_ProxyNode(2020)
LII_4,45.59,22.15,167.68,-1.356991911672289,481.1709160671769,0.1798695695225729,15.103472658191635,32.399610936573346,_ProxyNode(2019)
LII_5,46.72,25.36,167.57,-1.3593204990724175,747.7297946396972,0.18477042972164381,15.421859742689321,33.45879063277181,_ProxyNode(2017)
LI_8,43.22,-14.69,161.75,-1.3489061503367055,251.85491108443736,0.16310376868105403,13.600771003574419,30.96103395141492,_ProxyNode(2015)
LII_1,43.17,3.25,178.3,-1.3680446337591459,127.12325712185516,0.09627605615824862,7.670699069854372,31.7881331005529,_ProxyNode(2013)
LII_2,40.4,-3.11,179.94,-1.3709137222912497,103.80137118068609,0.08159343516832296,6.356188174920717,31.554105713629,_ProxyNode(2011)
LII_3,44.32,8.07,185.14,-1.37378127942985,148.82185411563657,0.10801316725275943,8.844621162835335,31.714255504761194,_ProxyNode(2009)
LII_4,40.8,-8.86,185.8,-1.3765710003035139,234.1749045396928,0.14957822461067552,12.78236764401819,31.382522421240424,_ProxyNode(1999)
LII_5,41.57,8.64,187.04,-1.3791756543683085,698.9963721962537,0.17932654397025347,15.401766185211727,32.800615908295086,_ProxyNode(1998)
LI_9,49.17,12.62,169.67,-1.3689265088171558,527.1304062466185,0.17726013355963108,15.10689244326727,32.2710998527524,_ProxyNode(1996)
LII_1,40.75,-3.12,185.52,-1.3777694065736201,74.13550165910982,0.06122430178627827,4.406747173508496,32.258258731689125,_ProxyNode(1994)
LII_2,42.93,-5.57,185.93,-1.3806097467867904,72.13725350203245,0.05974287791218616,4.282234169910101,32.13588068657795,_ProxyNode(1992)
LII_3,38.25,-8.54,192.23,-1.3834885173844707,312.2565519312704,0.1675261759863621,14.517619704988391,32.18330521229484,_ProxyNode(1984)
LII_4,35.17,-9.88,188.58,-1.3861368710291242,351.2304653662349,0.17683798988176994,15.517171028452736,31.179732346314097,_ProxyNode(1983)
LII_5,33.93,-8.48,190.19,-1.3882036879249753,378.3461478689121,0.17518497478120287,15.353696046966604,31.60658202546398,_ProxyNode(1981)
LI_10,46.75,-14.32,177.66,-1.3776708464381753,261.0422321653616,0.1600125371816571,13.805197328633135,31.094770227918946,_ProxyNode(1975)
LI_1,30.04,-4.81,104.1,-0.9049444789445964,41.32465863143963,0.06102637290057403,2.227905333807133,32.57020521362151,_ProxyNode(1973)
LII_1,32.77,4.89,111.5,-0.9605000262654441,125.47461806436617,0.1507709482264291,7.9278593870617975,31.774021336881432,_ProxyNode(1972)
LII_2,27.92,6.6,112.73,-0.9609190993756335,516.4944951481046,0.29458778683667003,16.516903937575137,32.02839842083781,_ProxyNode(1970)
LI_2,31.95,4.46,108.77,-0.9601915470057178,117.30399513167565,0.14272915659819396,7.4307883708064395,31.808041786386237,_ProxyNode(1968)
LII_1,31.75,3.42,124.18,-1.0465244871491963,45.22061733928618,0.058793507353433784,2.546060827111706,32.401854114380704,_ProxyNode(1966)
LII_2,30.05,-4.32,126.88,-1.047286448182656,27.881139992230384,0.04008315849414465,1.2943005489134372,32.45046608392052,_ProxyNode(1964)
LII_3,29.99,6.59,129.29,-1.0480529478345924,75.1571933130669,0.09043056618180433,4.643820118151755,31.925104276431572,_ProxyNode(1955)
LII_4,35.32,-9.93,137.16,-1.0486034721792938,25.659104729954176,0.03759638357519318,1.0930341245598107,32.42872376326942,_ProxyNode(1954)
LI_3,25.18,-3.31,118.44,-1.0460132998172602,120.91459868437197,0.13549374626952643,7.63454986387482,31.574487835791743,_ProxyNode(1952)
LII_1,32.38,-5.4,126.11,-1.1065330487537262,21.150487178209886,0.03129712548183324,0.7920121975147829,32.63031968028348,_ProxyNode(1950)
LII_2,34.17,-5.9,121.96,-1.1088817513483549,31.774467074766733,0.04186276394257708,1.5397090306411911,32.473241879052516,_ProxyNode(1948)
LII_3,36.11,-8.25,116.6,-1.111188796197999,49.87337971450243,0.059910354254573195,2.843340009666967,32.333997646694584,_ProxyNode(1946)
LII_4,39.59,-10.6,116.04,-1.1134184436620398,47.71830737487004,0.05768849540493592,2.6549933514082973,32.10700271413557,_ProxyNode(1937)
LII_5,43.74,-16.34,112.61,-1.1157325106283926,104.15536003178688,0.11152946555411247,6.516234044551542,31.72950302330345,_ProxyNode(1936)
LII_6,48.29,-8.36,104.41,-1.1170873090328697,82.69994571859715,0.09132829215552218,5.080155183778082,32.0967046732964,_ProxyNode(1934)
LI_4,32.2,7.48,126.57,-1.1047799768884754,74.1110489876908,0.08438782240747118,4.539013514150927,31.954695780174504,_ProxyNode(1932)
LII_1,29.87,-3.73,138.49,-1.1708221551647187,32.140592818943205,0.03991730912115569,1.6044659392614307,32.31587418186568,_ProxyNode(1930)
LII_2,29.59,-10.14,140.45,-1.175773047543633,12.231489619386247,0.02153694603758058,0.14639965911645803,32.566382039598196,_ProxyNode(1928)
LII_3,25.97,-15.42,142.43,-1.1806537690195285,16.32388954263629,0.025099136558210357,0.4476680819119778,32.423905897083394,_ProxyNode(1919)
LII_4,27.36,-19.78,143.24,-1.1858631797055899,170.57810714118617,0.1511414730998973,10.181227550859681,31.706046932855557,_ProxyNode(1918)
LII_5,19.85,-23.26,145.06,-1.1905728725359936,200.69237124701192,0.1707993020247458,11.707315003950505,31.488560805486365,_ProxyNode(1916)
LII_6,26.37,-27.26,143.54,-1.19493481489258,429.10499543884623,0.23494577622257795,16.572128934148623,31.488233458416616,_ProxyNode(1914)
LI_5,25.03,-9.23,133.11,-1.1667244831314618,60.60192935424346,0.06656288458088636,3.605629851800252,32.15533437822649,_ProxyNode(1912)
LII_1,29.75,2.45,148.03,-1.2070946110570966,46.10986128509124,0.050743117958167785,2.535996194752091,32.53871845526562,_ProxyNode(1910)
LII_2,21.31,5.4,148.26,-1.2098145827755395,36.245508206653625,0.04195303066817123,1.8520159287385347,32.41743699120915,_ProxyNode(1908)
LII_3,24.14,9.28,150.72,-1.2126179730049311,68.16783006789903,0.0697750277299151,4.085414012671471,32.11056236487735,_ProxyNode(1898)
LII_4,22.74,6.87,151.88,-1.2153160526343227,156.4433142735194,0.13647084841389284,9.397349546120324,31.927074603396118,_ProxyNode(1897)
LII_5,14.14,12.54,152.48,-1.2182587337165396,554.9320093939451,0.22292364732486744,16.017143370764046,32.294672001318304,_ProxyNode(1895)
LI_6,29.86,11.34,141.59,-1.2071752139690854,118.86034830999203,0.1116990742519407,7.36384495424026,31.777336321284686,_ProxyNode(1893)
LII_1,27.19,-5.77,149.28,-1.243785720026548,39.33372613042488,0.04303993742472886,2.024305064604313,32.43179342958529,_ProxyNode(1891)
LII_2,30.32,-7.54,144.88,-1.2453562142696102,25.593307618165134,0.03138622897220728,1.0328379648637558,32.54910241693235,_ProxyNode(1889)
LII_3,27.65,-13.43,143.17,-1.2468665121426237,14.882561971377127,0.022649974434986238,0.34039293927011016,32.49298752454335,_ProxyNode(1887)
LII_4,32.15,-11.25,135.67,-1.2483884951466806,18.361904923915397,0.025411425557307094,0.5581737487235792,32.44860754259168,_ProxyNode(1877)
LII_5,31.14,-16.6,131.83,-1.2500308436641854,71.29993882314784,0.06950123217432956,4.300035982473538,31.88373627125819,_ProxyNode(1876)
LII_6,35.68,-16.4,127.41,-1.2512419820965013,74.13992646416601,0.07165264846544905,4.452660845746593,31.95253111379118,_ProxyNode(1874)
LI_7,23.77,-14.18,150.49,-1.246623687338639,257.9273768509773,0.18807490231002894,13.919010482916779,31.457225497350105,_ProxyNode(1872)
LII_1,25.77,-3.96,155.04,-1.2671688150024423,146.94477080464105,0.12374342557342491,8.907679801403525,31.75849693852919,_ProxyNode(1870)
LII_2,25.87,-7.67,151.85,-1.2682624891442733,146.59090187856455,0.12345722849781596,8.91272432227932,31.59310655993314,_ProxyNode(1868)
LII_3,24.16,-11.63,148.0,-1.2692354866241882,136.893490097107,0.11635449560426808,8.350642440644513,31.70679488963515,_ProxyNode(1866)
LII_4,36.1,-10.25,145.32,-1.270104346302151,138.7745735524749,0.11748865142772394,8.459534834094331,31.67513666698881,_ProxyNode(1856)
LII_5,24.36,-17.75,139.87,-1.270123446527763,41.025012205975266,0.04338442711576052,2.217794509278228,32.223513810933596,_ProxyNode(1855)
LI_8,35.34,10.65,154.49,-1.27025413527011,283.32319808972795,0.19136462773965826,14.616023305461393,31.428466640639147,_ProxyNode(1853)
LII_1,22.22,4.24,162.28,-1.2866176424573048,235.5678171715454,0.16861241106846836,12.953948964445036,31.784388559307114,_ProxyNode(1851)
LII_2,22.73,8.87,159.68,-1.2886411144441803,340.9960270804851,0.19621771274526886,15.25381352301352,32.210039185726906,_ProxyNode(1849)
LII_3,18.3,9.86,156.33,-1.2905153325481593,72.63586463743246,0.06713854991591912,4.34107255181582,32.078468398721064,_ProxyNode(1847)
LII_4,16.55,13.38,151.13,-1.2922426853958644,95.59297119246338,0.0841378237657424,5.86874017200757,31.89611607356834,_ProxyNode(1845)
LII_5,18.19,17.94,149.22,-1.2944632732524282,370.3687560225189,0.19528306895747258,15.323341553784957,31.890756408626945,_ProxyNode(1835)
LI_9,10.92,-8.98,158.98,-1.288541797059222,585.0836647827765,0.20696092880492115,16.07685654892262,32.38965251690028,_ProxyNode(1834)
LII_1,21.86,5.06,169.49,-1.297097828939858,102.62703414510611,0.08880167899806915,6.266493215513808,31.93924823021541,_ProxyNode(1832)
LII_2,24.27,7.66,165.67,-1.2999835999673983,299.20191652735514,0.1889729503385012,14.924208689329426,31.750673583320335,_ProxyNode(1830)
LII_3,25.93,12.21,163.41,-1.3029358704018201,402.6846815062231,0.1943164255649329,15.389210235984365,31.94951554703376,_ProxyNode(1828)
LII_4,19.8,17.4,160.3,-1.3053463002515484,505.5756632508371,0.19662094595689006,15.557498694283453,32.4155884791628,_ProxyNode(1820)
LII_5,25.49,18.33,157.08,-1.3076718009411818,583.6562511965833,0.1976882358836023,15.676349421486151,32.48541825154415,_ProxyNode(1819)
LI_10,23.66,8.67,166.38,-1.2978496853385428,589.0036947976248,0.2017916210324997,15.859635021162376,32.23356270048713,_ProxyNode(1817)
LI_1,76.19,-4.31,102.44,-0.8755495853410044,45.131670623532386,0.06706098221527601,2.4937580083269104,32.47328554579642,_ProxyNode(1811)
